,name_of_country,gold_medal,silver_medal,bronze_medal,total_medal,url_flag
78,TJK,0,0,3,3,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/tajikistan.156f14dcf4b611f0159d.svg
79,ALB,0,0,2,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/albania.fd662765d16dfae50efd.svg
80,GRN,0,0,2,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/grenada.4a92fe718dffcd1d5892.svg
81,MAS,0,0,2,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/malaysia.952e3511fd31e588bb52.svg
82,PUR,0,0,2,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/puerto-rico.366ab7cbb9024a18f01e.svg
83,CPV,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/cape-verde.8b5497a10ba2dbefc750.svg
84,CIV,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/ivory-coast.7a067489dc9d534c0d9f.svg
85,EOR,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/olympics/refugee-olympic-team.b05a07a9b145fe25cae5.svg
86,PER,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/peru.4b8f5f4e9cca95aaf3bc.svg
87,QAT,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/qatar.940d38424df1f181b64f.svg
88,SIN,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/singapore.ad043f84d9decf4e9c37.svg
89,SVK,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/slovakia.a3c7b175b82331e44071.svg
90,ZAM,0,0,1,1,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/zambia.31e64392612b4127d5ab.svg
91,AFG,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/afghanistan.2a3e7fa17940f1b8c6aa.svg
92,ASA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/american-samoa.81d39205980ed2124359.svg
93,AND,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/andorra.e7c0bb8130bafb3efa52.svg
94,ANG,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/angola.caf0c2f5fd2a4e921dd1.svg
95,ANT,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/antigua-and-barbuda.5e79b1a359bf75fc61e0.svg
96,ARU,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/aruba.a766dbd9ac63d1c184b9.svg
97,BAH,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/bahamas.f4475673db1b3b99ef01.svg
98,BAN,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/bangladesh.b90eb8174d1a82bd9452.svg
99,BRB,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/barbados.1cc03970c9945dbd0475.svg
100,BLZ,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/belize.157c3406f0c4b60df600.svg
101,BEN,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/benin.bf771f47ee782da162af.svg
102,BER,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/bermuda.7317aeaf557a28dad2d1.svg
103,BHU,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/bhutan.a54b41b27c6876885e65.svg
104,BOL,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/bolivia.86a0310ec21ac4614589.svg
105,BIH,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/bosnia-and-herzegovina.a130608b4502ce72a84b.svg
106,BRU,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/brunei-darussalam.7591d4d1e874d9f9d96c.svg
107,BFA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/burkina-faso.d27f5b07c173840e4dc8.svg
108,BDI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/burundi.c43ac996f5748630f7dd.svg
109,CAM,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/cambodia.c65f92b08af13bc18a13.svg
110,CMR,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/cameroon.234a6bf5bb6cbd9411cc.svg
111,CAY,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/cayman-islands.638c4bc4bd0069174416.svg
112,CTA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/central-african-republic.c0069a92c4fdc2519b8a.svg
113,CHA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/chad.c1897ee664663d993f33.svg
114,COM,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/comoros.5403fcf8e237cb1940b5.svg
115,CGO,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/congo.cf9a30fa49da4df31e0d.svg
116,CKI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/cook-islands.8757ac9607581b9e6069.svg
117,CRC,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/costa-rica.7fe5916162daf2c98639.svg
118,DJI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/djibouti.5ae9f9434bb28309ad5b.svg
119,COD,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/dr-congo.ddc4ef51f9acb624376b.svg
120,ELS,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/el-salvador.f05d89201bf458ea70ca.svg
121,EQG,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/equatorial-guinea.b43cf47a08d7aa06eeb2.svg
122,ERI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/eritrea.2f254daefa1781fb1d0e.svg
123,EST,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/estonia.03e4df2c0e3af3fb642d.svg
124,SWZ,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/eswatini.b42126597a693cc153f1.svg
125,FIN,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/finland.691008e802bd8467b866.svg
126,GAB,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/gabon.7abcbd0d1e24cdf1bdd0.svg
127,GAM,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/the-gambia.bd16cc5975310c3bf7e6.svg
128,GHA,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/ghana.c4fe571abe1f84373c06.svg
129,GUM,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/guam.ce92245a6d45c10f71ff.svg
130,GUI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/guinea.9b8c48c76363b73db9be.svg
131,GNB,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/guinea-bissau.719e5d8cc861e1d04ca4.svg
132,GUY,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/guyana.b83885f2a3a2fe80639b.svg
133,HAI,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/haiti.691b33040138a20d9d8e.svg
134,HON,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/honduras.d29ad751852af498e0dc.svg
135,ICE,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/iceland.cac0faceca8ee8a3d0f5.svg
136,IRQ,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/iraq.97c53a5cb02525cc419e.svg
137,KIR,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/kiribati.4f78327bc9d404334fd4.svg
138,KUW,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/kuwait.fa1ae74783decc72b3fb.svg
139,LAO,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/laos.d93b34979a6c4e1cbfc3.svg
140,LAT,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/latvia.e6beda71900f02ce18b5.svg
141,LEB,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/lebanon.8e1f4a71eb7225f8d588.svg
142,LES,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/lesotho.82c324e574405ee78248.svg
143,LBR,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/liberia.4b6125ab73bb2e444dfc.svg
144,LBY,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/libya.5bcddbeffa9cb41e90ab.svg
145,LIE,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/liechtenstein.20ce8a57d2027c8d8f48.svg
146,LUX,0,0,0,0,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/luxembourg.7439b32e87904bd257e6.svg
