,name_of_country,gold_medal,silver_medal,bronze_medal,total_medal,url_flag,countries
43,SA,1,3,2,6,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/south-africa.2a4eaecf28759f586ac9.svg,South Africa
44,THA,1,3,2,6,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/thailand.a36b53a6b32ef084287c.svg,Thailand
45,ETH,1,3,0,4,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/ethiopia.914e011922a22436da1f.svg,Ethiopia
46,SWI,1,2,5,8,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/switzerland.add31b5b3f1388cca4ae.svg,Switzerland
47,ECU,1,2,2,5,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/ecuador.e4c981aa96932d4ca5c4.svg,Ecuador
48,POR,1,2,1,4,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/portugal.4939bd358acbf791bd99.svg,Portugal
49,GRE,1,1,6,8,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/greece.b20f6372982dcf503743.svg,Greece
50,ARG,1,1,1,3,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/argentina.4f15920422133b358691.svg,Argentina
51,EGY,1,1,1,3,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/egypt.4d81f1e1e12dd3860abd.svg,Egypt
52,TUN,1,1,1,3,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/tunisia.561ac20ccf43cdef4574.svg,Tunisia
53,BOT,1,1,0,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/botswana.543b804a74b0067920df.svg,Botswana
54,CHI,1,1,0,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/chile.54f26819649103674247.svg,Chile
55,LCA,1,1,0,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/saint-lucia.89fdb2ea253705dae2fb.svg,Saint Lucia
56,UGA,1,1,0,2,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/uganda.38f76a44720c35c83ece.svg,Uganda
57,DOM,1,0,2,3,https://static.files.bbci.co.uk/core/website/assets/static/sport/country-flags/dominican-republic.adf32d115052cbe33773.svg,Dominican Republic
