,player_name,medal_type,event_name,name_of_sport,medal_icon,country_flag
973,A.Zare,2, Freestyle Up to 125kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
974,T.Akgul,3, Freestyle Up to 125kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TR.svg
975,G.Meshvildishvi,3, Freestyle Up to 125kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AZ.svg
976,A.Fujinami,1, Freestyle Up to 53kg (F) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
977,L.Yepez Guzman,2, Freestyle Up to 53kg (F) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/EC.svg
978,H.Choe,3, Freestyle Up to 53kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KP.svg
979,Q.Pang,3, Freestyle Up to 53kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
980,R.Higuchi,1, Freestyle Up to 57kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
981,S.Lee,2, Freestyle Up to 57kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
982,A.Aman,3, Freestyle Up to 57kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IN.svg
983,G.Abdullaev,3, Freestyle Up to 57kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UZ.svg
984,K.Kiyooka,1, Freestyle Up to 65kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
985,R.Amouzadkhalil,2, Freestyle Up to 65kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
986,S.Rivera,3, Freestyle Up to 65kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/PR.svg
987,I.Dudaev,3, Freestyle Up to 65kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AL.svg
988,A.Elor,1, Freestyle Up to 68kg (F) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
989,M.Zhumanazarova,2, Freestyle Up to 68kg (F) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KG.svg
990,B.Cavusoglu Tos,3, Freestyle Up to 68kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TR.svg
991,N.Ozaki,3, Freestyle Up to 68kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
992,Y.Kagami,1, Freestyle Up to 76kg (F) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
993,K.Blades,2, Freestyle Up to 76kg (F) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
994,M.Marin Potrill,3, Freestyle Up to 76kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CU.svg
995,T.Renteria Rent,3, Freestyle Up to 76kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CO.svg
996,M.Ramazanov,1, Freestyle Up to 86kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BG.svg
997,H.Yazdani,2, Freestyle Up to 86kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
998,A.Brooks,3, Freestyle Up to 86kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
999,D.Kurugliev,3, Freestyle Up to 86kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GR.svg
1000,A.Tazhudinov,1, Freestyle Up to 97kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BH.svg
1001,G.Matcharashvil,2, Freestyle Up to 97kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GE.svg
1002,A.Azarpira,3, Freestyle Up to 97kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
1003,M.Magomedov,3, Freestyle Up to 97kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AZ.svg
1004,S.Hildebrandt,1, Freestyle up to 50kg (F) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
1005,Y.Guzman Lopez,2, Freestyle up to 50kg (F) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CU.svg
1006,Y.Susaki,3, Freestyle up to 50kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
1007,Z.Feng,3, Freestyle up to 50kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
1008,T.Sakurai,1, Freestyle up to 57 kg (F) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
1009,A.Nichita,2, Freestyle up to 57 kg (F) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/MD.svg
1010,H.Maroulis,3, Freestyle up to 57 kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
1011,K.Hong,3, Freestyle up to 57 kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
1012,S.Motoki,1, Freestyle up to 62kg (F) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
1013,I.Koliadenko,2, Freestyle up to 62kg (F) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UA.svg
1014,A.Tynybekova,3, Freestyle up to 62kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KG.svg
1015,G.Bullen,3, Freestyle up to 62kg (F) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/NO.svg
1016,R.Jamalov,1, Freestyle up to 74kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UZ.svg
1017,D.Takatani,2, Freestyle up to 74kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
1018,K.Dake,3, Freestyle up to 74kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/US.svg
1019,C.Valiev,3, Freestyle up to 74kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AL.svg
1020,M.López,1, Greco-Roman Up to 130kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CU.svg
1021,Y.Acosta Fernan,2, Greco-Roman Up to 130kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CL.svg
1022,A.Mirzazadeh,3, Greco-Roman Up to 130kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
1023,L.Meng,3, Greco-Roman Up to 130kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
1024,K.Fumita,1, Greco-Roman Up to 60kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
1025,L.Cao,2, Greco-Roman Up to 60kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
1026,Z.Sharshenbekov,3, Greco-Roman Up to 60kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KG.svg
1027,S.Ri,3, Greco-Roman Up to 60kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KP.svg
1028,S.Novikov,1, Greco-Roman Up to 87kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BG.svg
1029,A.Mohmadipiani,2, Greco-Roman Up to 87kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
1030,Z.Beleniuk,3, Greco-Roman Up to 87kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UA.svg
1031,T.Bisultanov,3, Greco-Roman Up to 87kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/DK.svg
1032,M.Saravi,1, Greco-Roman Up to 97kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
1033,A.Aleksanyan,2, Greco-Roman Up to 97kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AM.svg
1034,G.Rosillo Kinde,3, Greco-Roman Up to 97kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CU.svg
1035,U.Dzhuzupbekov,3, Greco-Roman Up to 97kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KG.svg
1036,S.Esmaeili Leiv,1, Greco-Roman up to 67kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
1037,P.Nasibov,2, Greco-Roman up to 67kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UA.svg
1038,H.Jafarov,3, Greco-Roman up to 67kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AZ.svg
1039,L.Orta Sanchez,3, Greco-Roman up to 67kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CU.svg
1040,N.Kusaka,1, Greco-Roman up to 77kg (M) ,Wrestling,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/JP.svg
1041,D.Zhadrayev,2, Greco-Roman up to 77kg (M) ,Wrestling,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KZ.svg
1042,M.Amoyan,3, Greco-Roman up to 77kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AM.svg
1043,A.Makhmudov,3, Greco-Roman up to 77kg (M) ,Wrestling,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KG.svg
