,player_name,medal_type,event_name,name_of_sport,medal_icon,country_flag
867,France,3, Team Tennis (M) ,Table Tennis,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
868,A.Laurin,1, Over 67kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
869,S.Osipova,2, Over 67kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/UZ.svg
870,D.Lee,3, Over 67kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
871,N.Kus Aydin,3, Over 67kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TR.svg
872,A.Salimi,1, Over 80kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
873,C.Cunningham,2, Over 80kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/GB.svg
874,R.Alba,3, Over 80kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CU.svg
875,C.Cissé,3, Over 80kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CI.svg
876,P.Wongpattanaki,1, Up to 49kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TH.svg
877,Q.Guo,2, Up to 49kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CN.svg
878,M.Nematzadeh,3, Up to 49kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
879,L.Stojkovic,3, Up to 49kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/HR.svg
880,Y.Kim,1, Up to 57kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
881,N.Kiyani Chande,2, Up to 57kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/IR.svg
882,S.Park,3, Up to 57kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/CA.svg
883,K.Alizadeh,3, Up to 57kg Weightlifting (F) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/BG.svg
884,T.Park,1, Up to 58kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\goldimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/KR.svg
885,G.Magomedov,2, Up to 58kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\silverimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/AZ.svg
886,C.Ravet,3, Up to 58kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/FR.svg
887,M.Jendoubi,3, Up to 58kg Weightlifting (M) ,Taekwondo,C:\Users\t480\Downloads\bronzeimage.svg,https://www.lemonde.fr/en/bucket/static/img/flags/cfi/3x2/TN.svg
